agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},1000.0,-181.164,111.128,46.176,207.075,0.157,394.98,0.5,0.0,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
GPQ (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-163.964,138.77,272.84,2527.861,0.164,194220.091,1.0,-5.332,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
GPQ (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-102.77,117.154,285.583,11067.474,2.822,782401.334,0.0,13.595,30.0,-17.074,107.936,254.653,429.368,0.001,13003.291,0.0,8.868
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
GPQ (DGP),gpq_agent,{},,,,,,,,,,30.0,-17.074,107.936,254.653,429.368,0.001,13003.291,0.0,8.868
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
GPSARSA (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-226.702,137.941,244.696,4099.396,0.524,226691.546,1.0,-33.037,30.0,-165.052,83.888,13.213,83.836,0.0,2565.768,0.714,-0.565
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
GPQ (DGP),gpq_agent,{},,,,,,,,,,30.0,-17.074,107.936,254.653,429.368,0.001,13003.291,0.0,8.868
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,30.0,-165.052,83.888,13.213,83.836,0.0,2565.768,0.714,-0.565
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
